Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Concierge,Jogging Trail,Play Room,Storage Space,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
18000.0,38.0,1,1,0.0,0.0,0,0,4.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
30000.0,55.0,2,1,1.0,0.0,1,1,4.3,66.5,1,1,1,1,0,1,0,0,0,0.0,1.0,0.0
23000.0,27.0,0,1,1.0,0.0,0,0,4.4,37.0,1,0,1,1,1,1,1,1,0,0.0,1.0,0.0
35000.0,57.0,1,2,1.0,1.0,1,0,4.3,66.5,1,1,1,1,0,1,1,1,1,0.0,1.0,0.0
37000.0,53.5,2,1,1.0,0.0,0,1,4.7,185.0,1,0,0,1,0,0,0,0,0,1.0,0.0,0.0
22000.0,32.0,1,1,1.0,0.0,1,0,4.3,66.5,1,1,0,1,0,1,1,0,0,0.0,0.0,1.0
21000.0,33.0,1,1,1.0,0.0,0,0,5.0,5.0,1,0,0,1,0,1,0,0,0,0.0,0.0,1.0
19000.0,28.0,0,1,1.0,0.0,0,0,4.4,165.0,1,1,0,1,0,0,0,0,0,1.0,0.0,0.0
25000.0,45.0,2,1,1.0,0.0,0,0,4.2,172.0,1,0,1,1,0,1,1,0,0,1.0,0.0,0.0
25000.0,42.0,2,2,1.0,0.0,0,0,3.7,41.0,1,0,1,1,1,1,0,0,0,1.0,0.0,0.0
45000.0,80.0,2,2,1.0,1.0,1,0,4.3,66.5,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
42000.0,48.65,2,2,0.0,0.0,0,0,4.3,66.5,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
22000.0,34.0,1,1,1.0,0.0,0,1,4.3,66.5,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0
25000.0,37.0,1,1,1.0,1.0,0,1,4.3,66.5,1,1,1,1,0,1,0,0,1,1.0,0.0,0.0
40000.0,56.0,2,1,1.0,0.0,0,1,4.7,185.0,1,0,1,1,1,1,1,0,0,1.0,0.0,0.0
37000.0,48.5,2,1,0.0,0.0,0,1,4.7,185.0,1,0,1,1,1,0,0,0,0,1.0,0.0,0.0
28000.0,45.0,2,2,1.0,0.0,0,0,4.3,66.5,1,0,1,1,0,1,0,0,0,1.0,0.0,0.0
75000.0,101.0,2,3,1.0,0.0,0,0,4.3,66.5,1,0,1,1,0,1,1,0,0,1.0,0.0,0.0
45000.0,34.0,2,2,1.0,0.0,1,0,4.6,1872.0,0,0,1,1,0,1,0,0,0,1.0,0.0,0.0
60000.0,80.0,2,2,1.0,1.0,1,0,4.4,120.0,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
45000.0,85.0,2,3,1.0,1.0,1,1,4.3,66.5,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0
